formula_index,formula_length,transition states,transition accepting_states,transition transitions,transition deterministic,state_direct states,state_direct accepting_states,state_direct transitions,state_direct deterministic,transition_to_state states,transition_to_state accepting_states,transition_to_state transitions,transition_to_state deterministic
0,15,2.0,2.0,4.0,TRUE,2,1,4,TRUE,2.0,1.0,4.0,TRUE
1,15,2.0,2.0,4.0,TRUE,2,2,4,TRUE,2.0,2.0,4.0,TRUE
2,9,1.0,1.0,1.0,TRUE,1,1,1,TRUE,1.0,1.0,1.0,TRUE
3,15,1.0,1.0,2.0,TRUE,2,1,4,TRUE,2.0,1.0,4.0,TRUE
4,15,1.0,1.0,2.0,TRUE,2,1,4,TRUE,2.0,1.0,4.0,TRUE
5,15,1.0,1.0,2.0,TRUE,2,1,4,TRUE,2.0,1.0,4.0,TRUE
6,61,5.0,3.0,10.0,FALSE,6,3,12,FALSE,6.0,3.0,12.0,FALSE
7,92,7.0,4.0,16.0,FALSE,8,4,18,FALSE,9.0,5.0,21.0,FALSE
8,131,9.0,5.0,23.0,FALSE,10,5,25,FALSE,12.0,7.0,32.0,FALSE
9,249,8.0,8.0,8.0,TRUE,8,8,8,TRUE,8.0,8.0,8.0,TRUE
10,292,24.0,24.0,24.0,TRUE,24,24,24,TRUE,24.0,24.0,24.0,TRUE
11,341,64.0,64.0,64.0,TRUE,64,64,64,TRUE,64.0,64.0,64.0,TRUE
12,396,160.0,160.0,160.0,TRUE,160,160,160,TRUE,160.0,160.0,160.0,TRUE
13,457,384.0,384.0,384.0,TRUE,384,384,384,TRUE,384.0,384.0,384.0,TRUE
14,524,896.0,896.0,896.0,TRUE,896,896,896,TRUE,896.0,896.0,896.0,TRUE
15,597,2048.0,2048.0,2048.0,TRUE,2048,2048,2048,TRUE,2048.0,2048.0,2048.0,TRUE
16,676,4608.0,4608.0,4608.0,TRUE,4608,4608,4608,TRUE,4608.0,4608.0,4608.0,TRUE
17,761,10240.0,10240.0,10240.0,TRUE,10240,10240,10240,TRUE,10240.0,10240.0,10240.0,TRUE
18,852,22528.0,22528.0,22528.0,TRUE,22528,22528,22528,TRUE,22528.0,22528.0,22528.0,TRUE
19,949,49152.0,49152.0,49152.0,TRUE,49152,49152,49152,TRUE,49152.0,49152.0,49152.0,TRUE
20,1052,106496.0,106496.0,106496.0,TRUE,106496,106496,106496,TRUE,106496.0,106496.0,106496.0,TRUE
21,1161,229376.0,229376.0,229376.0,TRUE,229376,229376,229376,TRUE,229376.0,229376.0,229376.0,TRUE
22,1276,491520.0,491520.0,491520.0,TRUE,491520,491520,491520,TRUE,491520.0,491520.0,491520.0,TRUE
23,1397,1048576.0,1048576.0,1048576.0,TRUE,1048576,1048576,1048576,TRUE,1048576.0,1048576.0,1048576.0,TRUE
24,221,8.0,8.0,8.0,TRUE,8,8,8,TRUE,8.0,8.0,8.0,TRUE
25,251,24.0,24.0,24.0,TRUE,24,24,24,TRUE,24.0,24.0,24.0,TRUE
26,281,64.0,64.0,64.0,TRUE,64,64,64,TRUE,64.0,64.0,64.0,TRUE
27,311,160.0,160.0,160.0,TRUE,160,160,160,TRUE,160.0,160.0,160.0,TRUE
28,341,384.0,384.0,384.0,TRUE,384,384,384,TRUE,384.0,384.0,384.0,TRUE
29,371,896.0,896.0,896.0,TRUE,896,896,896,TRUE,896.0,896.0,896.0,TRUE
30,401,2048.0,2048.0,2048.0,TRUE,2048,2048,2048,TRUE,2048.0,2048.0,2048.0,TRUE
31,431,4608.0,4608.0,4608.0,TRUE,4608,4608,4608,TRUE,4608.0,4608.0,4608.0,TRUE
32,461,10240.0,10240.0,10240.0,TRUE,10240,10240,10240,TRUE,10240.0,10240.0,10240.0,TRUE
33,491,22528.0,22528.0,22528.0,TRUE,22528,22528,22528,TRUE,22528.0,22528.0,22528.0,TRUE
34,521,49152.0,49152.0,49152.0,TRUE,49152,49152,49152,TRUE,49152.0,49152.0,49152.0,TRUE
35,551,106496.0,106496.0,106496.0,TRUE,106496,106496,106496,TRUE,106496.0,106496.0,106496.0,TRUE
36,581,229376.0,229376.0,229376.0,TRUE,229376,229376,229376,TRUE,229376.0,229376.0,229376.0,TRUE
