formula_index,formula_length,state_direct length,state_direct size,state_direct starheight,state_direct length time,state_direct size time,state_direct starheight time,state_direct aut_time,state_direct regex_const_time,state_direct simplify_time,simplify_state_direct length,simplify_state_direct size,simplify_state_direct starheight,simplify_state_direct length time,simplify_state_direct size time,simplify_state_direct starheight time,simplify_state_direct aut_time,simplify_state_direct regex_const_time,simplify_state_direct simplify_time,transition_selection bmc length,transition_selection bmc size,transition_selection bmc starheight,transition_selection bmc length time,transition_selection bmc size time,transition_selection bmc starheight time,transition_selection bmc aut_time,transition_selection bmc regex_const_time,transition_selection bmc simplify_time,transition_to_state bmc length,transition_to_state bmc size,transition_to_state bmc starheight,transition_to_state bmc length time,transition_to_state bmc size time,transition_to_state bmc starheight time,transition_to_state bmc aut_time,transition_to_state bmc regex_const_time,transition_to_state bmc simplify_time,simplify_transition_to_state bmc length,simplify_transition_to_state bmc size,simplify_transition_to_state bmc starheight,simplify_transition_to_state bmc length time,simplify_transition_to_state bmc size time,simplify_transition_to_state bmc starheight time,simplify_transition_to_state bmc aut_time,simplify_transition_to_state bmc regex_const_time,simplify_transition_to_state bmc simplify_time,transition_only bmc length,transition_only bmc size,transition_only bmc starheight,transition_only bmc length time,transition_only bmc size time,transition_only bmc starheight time,transition_only bmc aut_time,transition_only bmc regex_const_time,transition_only bmc simplify_time,transition_selection2 bmc length,transition_selection2 bmc size,transition_selection2 bmc starheight,transition_selection2 bmc length time,transition_selection2 bmc size time,transition_selection2 bmc starheight time,transition_selection2 bmc aut_time,transition_selection2 bmc regex_const_time,transition_selection2 bmc simplify_time,transition_only mny length,transition_only mny size,transition_only mny starheight,transition_only mny length time,transition_only mny size time,transition_only mny starheight time,transition_only mny aut_time,transition_only mny regex_const_time,transition_only mny simplify_time
0,15,3,9,1,0.0170927047729492,0.0165178775787353,0.0161585807800292,0.0107526779174804,0.0180990695953369,0,3,9,1,0.0153548717498779,0.016531229019165,0.0164313316345214,0.0022528171539306,0.0181612968444824,0.0171196460723876,3,9,1,0.0164415836334228,0.0111620426177978,0.0101363658905029,0.0022552013397216,0.0178682804107666,0,3,9,1,0.0175135135650634,0.0164339542388916,0.0163850784301757,0.0017030239105224,0.0177352428436279,0,3,9,1,0.017505407333374,0.0187323093414306,0.01141357421875,0.0020728111267089,0.0189483165740966,0.0178344249725341,6,26,2,0.0122897624969482,0.0163416862487792,0.0173211097717285,0.0022635459899902,0.0188832283020019,0,3,9,1,0.015864610671997,0.0109834671020507,0.0104405879974365,0.0019104480743408,0.0186624526977539,0,6,30,2,0.0199244022369384,0.0192036628723144,0.0188276767730712,0.1141107082366940,0.0211517810821533,0
1,15,5,24,1,0.0147995948791503,0.0170984268188476,0.0161933898925781,0.0014765262603759,0.0190682411193847,0,5,24,1,0.0170254707336425,0.017000675201416,0.0165615081787109,0.0021541118621826,0.0195817947387695,0.0186696052551269,5,24,1,0.0178358554840087,0.0165507793426513,0.0165767669677734,0.002295970916748,0.0202856063842773,0,5,24,1,0.0171277523040771,0.0165657997131347,0.0168132781982421,0.0018308162689208,0.0201160907745361,0,5,24,1,0.0170063972473144,0.017855167388916,0.0166795253753662,0.0020442008972167,0.0198049545288085,0.01705002784729,5,24,1,0.0167145729064941,0.0163664817810058,0.0162396430969238,0.0020673274993896,0.0188086032867431,0,5,24,1,0.0156905651092529,0.0186812877655029,0.0176410675048828,0.0011968612670898,0.0159487724304199,0,6,34,2,0.0187296867370605,0.018132209777832,0.01824951171875,0.0022940635681152,0.0206310749053955,0
2,9,1,2,0,0.0177063941955566,0.0166220664978027,0.0165987014770507,0.0015833377838134,0.0164160728454589,0,1,2,0,0.0162756443023681,0.0174033641815185,0.0173845291137695,0.0017406940460205,0.0175297260284423,0.0171291828155517,1,2,0,0.016711950302124,0.0161163806915283,0.0155475139617919,0.0016746520996093,0.0158259868621826,0,1,2,0,0.0167388916015625,0.0177321434020996,0.0175766944885253,0.0016648769378662,0.0177710056304931,0,1,2,0,0.0169513225555419,0.0172700881958007,0.0162923336029052,0.0018756389617919,0.0181734561920166,0.0174612998962402,1,2,0,0.016585350036621,0.0179650783538818,0.0164527893066406,0.0016765594482421,0.0181789398193359,0,1,2,0,0.0164117813110351,0.0178248882293701,0.0176067352294921,0.0013949871063232,0.017740249633789,0,1,2,0,0.0177366733551025,0.0169777870178222,0.0181176662445068,0.0018377304077148,0.0198831558227539,0
3,15,3,9,1,0.0170750617980957,0.0146689414978027,0.0160965919494628,0.0016050338745117,0.0187134742736816,0,3,9,1,0.0166661739349365,0.0171444416046142,0.0160036087036132,0.0019431114196777,0.0178978443145751,0.0177679061889648,2,5,1,0.0158033370971679,0.017754316329956,0.0184175968170166,0.001920461654663,0.0184202194213867,0,3,9,1,0.0172405242919921,0.0170488357543945,0.0166642665863037,0.0021054744720458,0.0180366039276123,0,3,9,1,0.0166716575622558,0.0171155929565429,0.0169496536254882,0.0018837451934814,0.0197811126708984,0.0186038017272949,2,5,1,0.0183939933776855,0.0188672542572021,0.0199246406555175,0.0017542839050292,0.0195567607879638,0,2,5,1,0.01849365234375,0.0182790756225585,0.0179555416107177,0.0018577575683593,0.0181500911712646,0,2,5,1,0.0183527469635009,0.0199160575866699,0.0188090801239013,0.0021369457244873,0.0201582908630371,0
4,15,3,9,1,0.0178303718566894,0.0162746906280517,0.0168583393096923,0.0023460388183593,0.0199081897735595,0,3,9,1,0.0160179138183593,0.0176191329956054,0.0161507129669189,0.0021166801452636,0.0193991661071777,0.018186330795288,2,5,1,0.0161406993865966,0.0164656639099121,0.0164451599121093,0.0018093585968017,0.0186309814453125,0,3,9,1,0.0177862644195556,0.0176532268524169,0.017350435256958,0.0016331672668457,0.0203909873962402,0,3,9,1,0.0166020393371582,0.0165507793426513,0.0161960124969482,0.0018885135650634,0.0187668800354003,0.0175232887268066,2,5,1,0.0161199569702148,0.0156257152557373,0.0172042846679687,0.0017342567443847,0.0191023349761962,0,2,5,1,0.0180294513702392,0.018367052078247,0.0171031951904296,0.0018784999847412,0.0190119743347167,0,2,5,1,0.0191178321838378,0.019237995147705,0.0186336040496826,0.0020887851715087,0.0206122398376464,0
5,15,3,9,1,0.0178055763244628,0.017303466796875,0.0166342258453369,0.0020740032196044,0.0199277400970459,0,3,9,1,0.0139544010162353,0.0158097743988037,0.016416311264038,0.0020632743835449,0.0185656547546386,0.0181696414947509,2,5,1,0.0164802074432373,0.016843557357788,0.0118269920349121,0.0019288063049316,0.0175247192382812,0,3,9,1,0.016700267791748,0.0170009136199951,0.0170025825500488,0.0018835067749023,0.0180203914642334,0,3,9,1,0.0182311534881591,0.0171649456024169,0.0179340839385986,0.0018937587738037,0.0184919834136962,0.0173172950744628,2,5,1,0.0173709392547607,0.0174849033355712,0.0168113708496093,0.0017931461334228,0.0178065299987792,0,2,5,1,0.0165445804595947,0.018336534500122,0.0174260139465332,0.0018708705902099,0.0180573463439941,0,2,5,1,0.0200893878936767,0.0186090469360351,0.018404483795166,0.0020723342895507,0.0191779136657714,0
6,61,11,45,1,0.016237735748291,0.0165565013885498,0.0167515277862548,0.0069780349731445,0.0205991268157959,0,11,41,1,0.0166883468627929,0.0170235633850097,0.0162432193756103,0.0101618766784667,0.0215733051300048,0.0186114311218261,8,36,1,0.0165467262268066,0.011235237121582,0.01621675491333,0.0092687606811523,0.0213024616241455,0,11,45,1,0.0182061195373535,0.0173659324645996,0.0171372890472412,0.0096688270568847,0.0238904953002929,0,11,41,1,0.0169243812561035,0.0171127319335937,0.0158007144927978,0.0096604824066162,0.0221412181854248,0.0182023048400878,8,36,1,0.0165719985961914,0.0181963443756103,0.0183272361755371,0.0095267295837402,0.0224251747131347,0,8,36,1,0.0182371139526367,0.018444538116455,0.0185387134552001,0.0093157291412353,0.0225942134857177,0,8,36,1,0.0187711715698242,0.0194783210754394,0.0186576843261718,0.0099589824676513,0.0207831859588623,0
7,92,17,79,1,0.017867088317871,0.0171842575073242,0.0174379348754882,0.0195116996765136,0.0210707187652587,0,17,73,1,0.0185329914093017,0.0171632766723632,0.0162074565887451,0.0247740745544433,0.0174746513366699,0.0183093547821044,14,70,1,0.0109155178070068,0.0144398212432861,0.0161540508270263,0.0240979194641113,0.015474796295166,0,48,383,2,0.0147268772125244,0.0177578926086425,0.0170834064483642,0.0212390422821044,0.015932559967041,0,53,377,2,0.0167961120605468,0.0185058116912841,0.0179862976074218,0.0220584869384765,0.0190720558166503,0.0200252532958984,14,70,1,0.0175600051879882,0.0171613693237304,0.0168259143829345,0.0225105285644531,0.0181715488433837,0,14,70,1,0.0162937641143798,0.0163512229919433,0.0163192749023437,0.0227422714233398,0.0205333232879638,0,15,73,1,0.0194973945617675,0.0191612243652343,0.018320083618164,0.0201928615570068,0.0162689685821533,0
8,131,21,139,1,0.0128414630889892,0.0166730880737304,0.0168788433074951,0.2813620567321780,0.015859842300415,0,26,131,1,0.0111122131347656,0.0147376060485839,0.0134878158569335,0.2583580017089840,0.018496036529541,0.0118310451507568,23,130,1,0.0138888359069824,0.0160315036773681,0.0158703327178955,0.2585382461547850,0.0158517360687255,0,274,3729,3,0.013171911239624,0.0142843723297119,0.0177671909332275,0.2459115982055660,0.0300977230072021,0,295,3721,3,0.0219936370849609,0.0207324028015136,0.0212428569793701,0.2550816535949710,0.0253005027770996,0.0396366119384765,23,130,1,0.0146825313568115,0.0185532569885253,0.0175964832305908,0.2493009567260740,0.0194530487060546,0,23,130,1,0.0150585174560546,0.0165824890136718,0.0182254314422607,0.2473971843719480,0.0169055461883544,0,28,139,1,0.0153477191925048,0.0175461769104003,0.0183687210083007,0.2482309341430660,0.0144839286804199,0
9,249,15,191,0,0.0098066329956054,0.0137479305267333,0.0171384811401367,0.0102145671844482,0.0140366554260253,0,15,191,0,0.0172569751739501,0.0174343585968017,0.0187034606933593,0.0122663974761962,0.0252583026885986,0.0192630290985107,15,191,0,0.0168931484222412,0.0173709392547607,0.0186984539031982,0.0120205879211425,0.0239992141723632,0,15,191,0,0.0124745368957519,0.0163586139678955,0.0179781913757324,0.0112702846527099,0.0221133232116699,0,15,191,0,0.0182938575744628,0.0178954601287841,0.0179829597473144,0.0117716789245605,0.0260155200958251,0.0201551914215087,15,191,0,0.0173404216766357,0.0168721675872802,0.0171854496002197,0.0112273693084716,0.0195550918579101,0,15,191,0,0.0164012908935546,0.0134658813476562,0.0103468894958496,0.0119936466217041,0.023646593093872,0,36,472,1,0.0193574428558349,0.019219160079956,0.0200200080871582,0.0111386775970458,0.02447509765625,0
10,292,47,1727,0,0.0112531185150146,0.0137391090393066,0.0173895359039306,0.0108258724212646,0.0426869392395019,0,47,1727,0,0.0172748565673828,0.0193440914154052,0.0188057422637939,0.0136675834655761,0.0500962734222412,0.0188238620758056,47,1727,0,0.012160301208496,0.0185856819152832,0.0194170475006103,0.0128493309020996,0.0490229129791259,0,47,1727,0,0.0125348567962646,0.0187764167785644,0.0223975181579589,0.0117335319519042,0.04815673828125,0,47,1727,0,0.0208041667938232,0.0206942558288574,0.0202600955963134,0.0153868198394775,0.0463647842407226,0.0248308181762695,47,1727,0,0.0129001140594482,0.0194499492645263,0.0196189880371093,0.0164399147033691,0.0480451583862304,0,47,1727,0,0.013932466506958,0.0178198814392089,0.0178520679473876,0.0083000659942626,0.0484545230865478,0,126,5054,1,0.0149517059326171,0.0206267833709716,0.0201022624969482,0.0151615142822265,0.1061494350433350,0
11,341,127,12287,0,0.0174291133880615,0.0211071968078613,0.0253374576568603,0.0171825885772705,0.2826342582702640,0,127,12287,0,0.0226824283599853,0.0227653980255126,0.0295031070709228,0.0194852352142334,0.2647972106933590,0.0519094467163085,127,12287,0,0.0189170837402343,0.0255851745605468,0.0228865146636962,0.0171048641204834,0.2835862636566160,0,127,12287,0,0.0197737216949462,0.0244264602661132,0.0232369899749755,0.0169522762298584,0.2530245780944820,0,127,12287,0,0.0218207836151123,0.0249731540679931,0.0276315212249755,0.0137112140655517,0.2502365112304690,0.0717191696166992,127,12287,0,0.0254042148590087,0.0261008739471435,0.0260894298553466,0.0173146724700927,0.2543034553527830,0,127,12287,0,0.0233688354492187,0.0267558097839355,0.0260241031646728,0.0166761875152587,0.2420427799224850,0,255,28541,1,0.0291125774383544,0.0318026542663574,0.0297222137451171,0.0175404548645019,4.2448506355285600,0
